modo,tau_varrida,cenario,canal,tau_sat,s_transicao,arquivo,semente,concluiu,violacoes,n_executadas,makespan,makespan_cpm,atraso_relativo,TW,TL,TU,TR,taxa_omissao,taxa_falha_efetiva,divida_latente_sobre_plano,N_req,N_fail,N_success,N_blocked,hiato_encontrado,hiato_colega_capaz_sem_confianca,fracao_hiato_sem_confianca,confianca_media_final,motivo_termino
rede,1.0,centralizada,ativo,1.4,0.01,j6021_1.sm,0,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,ativo,1.4,0.01,j6021_1.sm,1,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,ativo,1.4,0.01,j6021_1.sm,2,False,0,14,19456,76,256.0,81.0,0.0,116596.0,7.5,0.016666666666666666,0.03333333333333333,0.012048192771084338,0,0,0,97167,116596,97167,0.8333647809530345,0.25,limite_seguranca
rede,1.0,centralizada,ativo,1.4,0.01,j6032_1.sm,0,False,0,8,17664,69,256.0,37.0,0.0,105932.0,2.5,0.016666666666666666,0.03333333333333333,0.005934718100890208,0,0,0,88280,105932,88280,0.8333648000604161,0.25,limite_seguranca
rede,1.0,centralizada,ativo,1.4,0.01,j6032_1.sm,1,False,0,8,17664,69,256.0,37.0,0.0,105933.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88281,105933,88281,0.8333663730848744,0.25,limite_seguranca
rede,1.0,centralizada,ativo,1.4,0.01,j6043_1.sm,0,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,ativo,1.4,0.01,j6043_1.sm,1,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6021_1.sm,0,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6021_1.sm,1,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6021_1.sm,2,False,0,14,19456,76,256.0,81.0,0.0,116596.0,7.5,0.016666666666666666,0.03333333333333333,0.012048192771084338,0,0,0,97167,116596,97167,0.8333647809530345,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6032_1.sm,0,False,0,8,17664,69,256.0,37.0,0.0,105932.0,2.5,0.016666666666666666,0.03333333333333333,0.005934718100890208,0,0,0,88280,105932,88280,0.8333648000604161,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6032_1.sm,1,False,0,8,17664,69,256.0,37.0,0.0,105933.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88281,105933,88281,0.8333663730848744,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6043_1.sm,0,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.0,0.01,j6043_1.sm,1,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6010_1.sm,0,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6010_1.sm,1,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6010_1.sm,2,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6010_1.sm,3,False,0,0,21760,85,256.0,0.0,0.0,130560.0,0.0,0.0,0.0,0.0,0,0,0,108800,130560,108800,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6021_1.sm,0,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6021_1.sm,1,False,0,0,19456,76,256.0,0.0,0.0,116736.0,0.0,0.0,0.0,0.0,0,0,0,97280,116736,97280,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6021_1.sm,2,False,0,14,19456,76,256.0,81.0,0.0,116596.0,7.5,0.016666666666666666,0.03333333333333333,0.012048192771084338,0,0,0,97167,116596,97167,0.8333647809530345,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6032_1.sm,0,False,0,8,17664,69,256.0,37.0,0.0,105932.0,2.5,0.016666666666666666,0.03333333333333333,0.005934718100890208,0,0,0,88280,105932,88280,0.8333648000604161,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6032_1.sm,1,False,0,8,17664,69,256.0,37.0,0.0,105933.0,2.0,0.016666666666666666,0.016666666666666666,0.005934718100890208,0,0,0,88281,105933,88281,0.8333663730848744,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6043_1.sm,0,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.25,limite_seguranca
rede,1.0,centralizada,desligado,1.4,0.01,j6043_1.sm,1,False,0,0,27648,108,256.0,0.0,0.0,165888.0,0.0,0.0,0.0,0.0,0,0,0,138240,165888,138240,0.8333333333333334,0.25,limite_seguranca
